"id","fav","chapter","visitors_all","visitors"
"1175122","4486","138","291800","164"
"1175588","610","46","20928","177"
"1236555","50","20","2200","1"
"1186139","48","44","10055","21"
"1186209","0","19","209","0"
"1199854","1058","26","21666","7"
"1203709","181","20","2935","2"
"1501588","7784","29","249880","373"
"1213156","437","30","53844","39"
"1446360","283","23","8634","7"
"1218892","4613","89","222193","412"
"1221127","9","14","1478","31"
"1493391","32","80","624","6"
"1261870","535","23","30620","32"
"1231944","600","69","95513","120"
"1232402","69","40","4054","34"
"1235836","1388","60","92310","101"
"1237866","353","56","32059","65"
"1566276","5237","152","484671","678"
"1271175","533","41","28525","13"
"1250362","794","42","21506","29"
"1254950","440","16","9619","19"
"1353021","211","26","8002","13"
"1260155","3101","161","198592","259"
"1262397","1138","70","307165","48"
"1299190","325","15","4843","179"
"1284149","91","23","5171","11"
"1332185","2207","56","158386","64"
"1276763","19","21","2314","7"
"1277264","1204","28","44717","13"
"1363340","213","27","11781","29"
"1567666","284","23","2214","6"
"1284501","2655","257","378636","94"
"1427167","23","21","782","3"
"1293852","421","71","13182","96"
"1546656","2125","33","44972","148"
"1291869","85","87","10080","11"
"1438647","120","36","9717","31"
"1412766","1391","21","42028","58"
"1306600","1680","132","110826","53"
"1307262","711","70","47492","32"
"1307861","4887","139","528812","559"
"1322876","1198","22","40693","239"
"1314225","1404","29","27391","18"
"1575124","5","20","293","2"
"1314264","898","24","37759","61"
"1317106","74","37","4870","10"
"1314837","1826","38","394028","123"
"1323966","352","28","8948","6"
"1326091","588","54","68225","53"
"1493997","411","40","50876","145"
"1328035","1609","30","71780","159"
"1328402","1791","25","105701","122"
"1337567","2661","42","357699","45"
"1337120","7","7","1010","7"
"1384287","1616","124","64565","28"
"1340052","98","14","7959","27"
"1340261","132","47","15112","19"
"1340689","4730","123","211508","234"
"1342827","599","104","106100","200"
"1539521","2876","69","154709","2649"
"1344428","282","15","8303","11"
"1517996","4376","82","290704","588"
"1349094","1193","19","44760","20"
"1346612","233","26","5111","4"
"1530854","166","40","3700","35"
"1351540","780","95","209588","69"
"1351982","18","27","489","1"
"1506539","24","6","2280","11"
"1357735","310","25","26806","24"
"1357752","1155","35","117896","44"
"1358335","763","23","43095","43"
"1358367","1853","60","177317","376"
"1434696","293","22","7967","5"
"1360570","131","17","3673","5"
"1372081","335","42","24779","23"
"1416230","255","66","19227","381"
"1367691","24","14","871","0"
"1367880","47","21","1484","7"
"1394778","554","15","11127","18"
"1369007","2685","33","84323","75"
"1369600","1345","82","124120","37"
"1370821","1152","65","154480","77"
"1370991","192","35","10212","38"
"1383966","1264","36","46324","56"
"1375510","5954","51","452982","76"
"1374395","1504","55","71883","62"
"1377222","739","65","75837","83"
"1491011","103","25","2763","6"
"1381516","1296","41","21586","55"
"1381797","60","30","1156","4"
"1417694","6709","123","543781","10299"
"1382949","89","26","8879","27"
"1383077","5773","212","688006","167"
"1383819","18","14","642","2"
"1529619","303","63","21512","171"
"1385148","462","32","11851","14"
"1385743","908","70","110140","109"
"1442437","3003","70","86169","722"
"1387209","5951","129","579451","2423"
"1388778","47","29","1405","8"
"1502304","44","9","3897","7"
"1390541","718","54","25405","15"
"1391008","307","22","4763","14"
"1401441","984","36","36170","29"
"1401675","17","17","2028","16"
"1402282","3565","149","542672","74"
"1402347","508","32","53133","233"
"1408136","296","23","4973","13"
"1405471","216","27","8651","6"
"1521909","822","72","55114","144"
"1407527","6","30","1052","2"
"1408510","4150","32","134637","164"
"1413069","103","21","3505","4"
"1413253","4","4","361","1"
"1433194","27","32","900","6"
"1506784","2468","110","247661","176"
"1566181","71","14","1752","2"
"1415622","5","21","397","1"
"1575138","5","27","178","3"
"1423158","339","19","3685","49"
"1423501","1440","28","119637","104"
"1423036","964","24","57104","92"
"1417462","1032","61","42299","48"
"1417702","1899","29","60460","354"
"1486218","154","25","2864","6"
"1580901","39","7","1198","10"
"1485519","64","32","4230","14"
"1432586","2704","67","444194","455"
"1426235","1037","45","19879","45"
"1427253","75","18","1542","3"
"1518418","7051","124","587719","275"
"1548939","110","30","2497","12"
"1431687","1224","30","41056","36"
"1431400","406","35","6894","19"
"1434777","492","75","32368","81"
"1436511","2219","28","291115","171"
"1433179","17","53","965","5"
"1434840","100","26","29421","24"
"1437347","4985","158","429989","11251"
"1438550","359","36","8458","40"
"1438960","88","33","7418","32"
"1501771","926","75","116834","43"
"1569974","1075","48","15391","49"
"1518716","3647","63","142524","349"
"1545157","159","25","3087","29"
"1456446","3128","26","178373","71"
"1508892","37","10","2480","11"
